time	count
79785.00	0.00
79818.00	1.00
79825.00	0.00
79856.00	1.00
79862.00	0.00
79892.00	1.00
79898.00	0.00
79928.00	1.00
79933.00	0.00
79966.00	1.00
79972.00	0.00
80002.00	1.00
80008.00	0.00
80039.00	1.00
80046.00	0.00
80108.00	1.00
80113.00	0.00
80146.00	1.00
80208.00	0.00
80253.00	1.00
80258.00	0.00
80411.00	1.00
80419.00	0.00
80480.00	1.00
80486.00	0.00
80574.00	1.00
80580.00	0.00
80681.00	1.00
80686.00	0.00
80894.00	1.00
80959.00	0.00
80993.00	1.00
81033.00	0.00
81069.00	1.00
81074.00	0.00
81096.00	1.00
81136.00	0.00
81172.00	1.00
81177.00	0.00
81198.00	1.00
81238.00	0.00
81272.00	1.00
81277.00	0.00
81299.00	1.00
81337.00	0.00
81369.00	1.00
81374.00	0.00
81399.00	1.00
81405.00	0.00
81429.00	1.00
81435.00	0.00
81459.00	1.00
81464.00	0.00
81490.00	1.00
81495.00	0.00
81520.00	1.00
81525.00	0.00
81550.00	1.00
81555.00	0.00
81591.00	1.00
81596.00	0.00
81650.00	1.00
81655.00	0.00
81717.00	1.00
81723.00	0.00
81773.00	1.00
81779.00	0.00
81842.00	1.00
81848.00	0.00
81903.00	1.00
81909.00	0.00
82015.00	1.00
82020.00	0.00
82071.00	1.00
82076.00	0.00
82125.00	1.00
82130.00	0.00
82181.00	1.00
82186.00	0.00
82241.00	1.00
82249.00	0.00
82298.00	1.00
82304.00	0.00
82377.00	1.00
82383.00	0.00
82436.00	1.00
82441.00	0.00
82512.00	1.00
82517.00	0.00
82580.00	1.00
82585.00	0.00
82624.00	1.00
82628.00	0.00
82688.00	1.00
82693.00	0.00
82760.00	1.00
82766.00	0.00
82816.00	1.00
82821.00	0.00
82875.00	1.00
82880.00	0.00
82943.00	1.00
82948.00	0.00
82977.00	1.00
82982.00	0.00
83047.00	1.00
83052.00	0.00
83112.00	1.00
83118.00	0.00
83176.00	1.00
83181.00	0.00
83247.00	1.00
83253.00	0.00
83422.00	1.00
83426.00	0.00
83512.00	1.00
83517.00	0.00
83601.00	1.00
83606.00	0.00
83835.00	1.00
83901.00	0.00
83931.00	1.00
83969.00	0.00
84001.00	1.00
84036.00	0.00
84075.00	1.00
84081.00	0.00
84102.00	1.00
84138.00	0.00
84170.00	1.00
84205.00	0.00
84237.00	1.00
84242.00	0.00
84268.00	1.00
84273.00	0.00
84298.00	1.00
84303.00	0.00
84326.00	1.00
84332.00	0.00
84356.00	1.00
84361.00	0.00
84386.00	1.00
84391.00	0.00
84416.00	1.00
84420.00	0.00
84445.00	1.00
84450.00	0.00
84474.00	1.00
84479.00	0.00
84517.00	1.00
84581.00	0.00
84603.00	1.00
84608.00	0.00
84632.00	1.00
84637.00	0.00
84746.00	1.00
84752.00	0.00
84822.00	1.00
84827.00	0.00
84900.00	1.00
84905.00	0.00
84988.00	1.00
84992.00	0.00
85200.00	1.00
85263.00	0.00
85297.00	1.00
85340.00	0.00
85376.00	1.00
85381.00	0.00
85404.00	1.00
85445.00	0.00
85485.00	1.00
85490.00	0.00
85511.00	1.00
85552.00	0.00
85584.00	1.00
85589.00	0.00
85610.00	1.00
85648.00	0.00
85681.00	1.00
85686.00	0.00
85710.00	1.00
85716.00	0.00
85740.00	1.00
85745.00	0.00
85771.00	1.00
85776.00	0.00
85800.00	1.00
85805.00	0.00
85831.00	1.00
85836.00	0.00
85861.00	1.00
85866.00	0.00
85891.00	1.00
85896.00	0.00
85944.00	1.00
85949.00	0.00
86019.00	1.00
86025.00	0.00
86092.00	1.00
86098.00	0.00
86170.00	1.00
86177.00	0.00
86230.00	1.00
86277.00	0.00
86340.00	1.00
86345.00	0.00
86397.00	1.00
86403.00	0.00
86459.00	1.00
86465.00	0.00
86520.00	1.00
86526.00	0.00
86569.00	1.00
86575.00	0.00
86629.00	1.00
86633.00	0.00
86714.00	1.00
86720.00	0.00
86761.00	1.00
86766.00	0.00
86853.00	1.00
86858.00	0.00
86917.00	1.00
86922.00	0.00
86962.00	1.00
86967.00	0.00
87024.00	1.00
87029.00	0.00
87085.00	1.00
87090.00	0.00
87130.00	1.00
87135.00	0.00
87191.00	1.00
87196.00	0.00
87251.00	1.00
87256.00	0.00
87297.00	1.00
87302.00	0.00
87358.00	1.00
87363.00	0.00
87419.00	1.00
87424.00	0.00
87475.00	1.00
87480.00	0.00
87531.00	1.00
87535.00	0.00
87692.00	1.00
87697.00	0.00
87794.00	1.00
87799.00	0.00
87912.00	1.00
87916.00	0.00
88361.00	1.00
88429.00	0.00
88503.00	1.00
88534.00	0.00
88574.00	1.00
88661.00	0.00
88705.00	1.00
88756.00	0.00
88801.00	1.00
88847.00	0.00
88879.00	1.00
88885.00	0.00
88918.00	1.00
88923.00	0.00
88959.00	1.00
88965.00	0.00
88989.00	1.00
88994.00	0.00
89020.00	1.00
89025.00	0.00
